site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
12978,no,86,55,20,29
12978,no,91,67,11,73
12978,no,97,61,3,61
12978,no,119,75,14,70
12978,no,98,59,4,57
12978,no,120,73,5,58
12978,no,106,67,3,57
12978,no,93,55,5,40
12978,no,81,47,4,25
12978,no,80,65,6,71
12978,no,100,65,2,85
12978,no,86,54,6,34
12978,no,88,57,4,35
12978,no,100,58,4,36
12978,no,123,74,16,62
12978,no,130,80,27,76
12978,no,121,76,18,67
12978,no,99,68,3,72
12978,no,98,67,2,91
12978,no,90,61,4,109
12978,no,89,59,2,84
12978,no,90,63,2,90
12978,no,96,65,3,95
12978,no,110,68,6,72
12978,no,94,53,4,33
12978,no,105,68,2,84
12978,no,121,73,22,61
12978,no,117,65,4,79
12978,no,97,55,11,64
12978,no,115,74,21,66
6718,no,92,60,7,64
6718,no,65,68,26,25
6718,no,94,57,3,54
6718,no,103,74,32,69
6718,no,92,54,3,56
6718,no,92,49,6,37
6718,no,85,49,3,31
6718,no,73,44,3,29
6718,no,58,56,0,84
6718,no,86,80,28,51
6718,no,95,77,40,80
6718,no,101,59,4,57
6718,no,95,60,3,67
6718,no,92,60,4,60
6718,no,88,57,4,44
6718,no,80,53,11,59
6718,no,101,63,10,66
6718,no,116,76,21,55
6718,no,84,58,8,56
6718,no,73,61,6,73
6718,no,84,68,32,52
6718,no,66,70,21,39
6718,no,85,44,7,31
6718,no,96,62,18,42
6718,no,86,51,5,36
6718,no,88,49,5,30
6718,no,95,64,6,65
6718,no,84,59,5,71
6718,no,83,76,49,23
